dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
bloodmnist,0.5,fedpac,210,76.83191363982759,5.966630711414814,3
bloodmnist,0.5,fedpac,225,77.20313951251036,2.5730425134490114,3
bloodmnist,0.5,fedpac,240,78.76492320732918,4.496979666400214,3
bloodmnist,0.5,fedpac,255,77.58508976798186,3.8989528847205785,3
bloodmnist,0.5,fedpac,270,78.46572031871736,4.134592033748879,3
bloodmnist,0.5,fedpac,285,77.56702677656945,2.839852670883284,3
bloodmnist,0.5,fedpac,300,77.51796489197869,3.869106848402406,3
bloodmnist,0.5,fedsa,1,14.44982966756713,3.992642832292321,3
bloodmnist,0.5,fedsa,15,46.40957019517241,5.2319965783161555,3
bloodmnist,0.5,fedsa,30,51.17595925789786,3.3257764706266038,3
bloodmnist,0.5,fedsa,45,46.750496329165486,12.403202992842212,3
bloodmnist,0.5,fedsa,60,46.79085427789292,8.67792104034743,3
bloodmnist,0.5,fedsa,75,48.20602866601698,11.986553040235902,3
bloodmnist,0.5,fedsa,90,39.83696124674874,30.906154311322332,3
bloodmnist,0.5,fedsa,105,46.349727508087405,4.152095883591361,3
bloodmnist,0.5,fedsa,120,53.80934901583807,2.6902526920857164,3
bloodmnist,0.5,fedsa,135,47.55708501780405,9.425702404973554,3
bloodmnist,0.5,fedsa,150,53.36499507542319,14.245923862716088,3
bloodmnist,0.5,fedsa,165,57.046223460463395,2.64023429313932,3
bloodmnist,0.5,fedsa,180,57.26653768400852,8.468553389263722,3
bloodmnist,0.5,fedsa,195,68.6658125604939,2.1863268436527994,3
bloodmnist,0.5,fedsa,210,68.13385248280304,3.5182127713329416,3
bloodmnist,0.5,fedsa,225,69.76078862632407,3.2049007008294863,3
bloodmnist,0.5,fedsa,240,71.09541478449479,1.5855835177571669,3
bloodmnist,0.5,fedsa,255,69.49982212013443,3.381361390036168,3
bloodmnist,0.5,fedsa,270,70.28616855494829,2.7491352241498115,3
bloodmnist,0.5,fedsa,285,69.52164299285307,1.9334342558339943,3
bloodmnist,0.5,fedsa,300,71.85038366078231,1.903840467597506,3
bloodmnist,0.5,cwfedavg,1,7.307558775289863,2.876317185682425,3
bloodmnist,0.5,cwfedavg,15,41.98830617532386,3.3321308478608707,3
bloodmnist,0.5,cwfedavg,30,53.09320628189487,6.735076113839576,3
bloodmnist,0.5,cwfedavg,45,54.740499942286995,9.62312307358459,3
bloodmnist,0.5,cwfedavg,60,52.83477166134556,9.439029214543481,3
bloodmnist,0.5,cwfedavg,75,49.83184306298344,18.996771609161655,3
bloodmnist,0.5,cwfedavg,90,55.75524554673691,7.206613500253467,3
bloodmnist,0.5,cwfedavg,105,52.25762027191449,16.857737418547586,3
bloodmnist,0.5,cwfedavg,120,55.3134200562105,8.176294260671048,3
bloodmnist,0.5,cwfedavg,135,55.565285766622715,14.854708468288331,3
bloodmnist,0.5,cwfedavg,150,54.75203297729329,17.3923802259015,3
bloodmnist,0.5,cwfedavg,165,53.059736565082765,19.746318284107133,3
bloodmnist,0.5,cwfedavg,180,59.462568781840275,15.879947585221485,3
bloodmnist,0.5,cwfedavg,195,62.28027952680984,17.505379106766867,3
bloodmnist,0.5,cwfedavg,210,59.40206329775095,19.3667024345542,3
bloodmnist,0.5,cwfedavg,225,60.321301068855476,14.676996389283081,3
bloodmnist,0.5,cwfedavg,240,56.81324066620247,20.464169206281703,3
bloodmnist,0.5,cwfedavg,255,55.320607695707665,21.67655751814192,3
bloodmnist,0.5,cwfedavg,270,57.10318261595864,20.8429079818429,3
bloodmnist,0.5,cwfedavg,285,56.64803314527974,21.5884313822437,3
bloodmnist,0.5,cwfedavg,300,59.27868037507632,18.5311738626642,3
bloodmnist,0.5,cwt,1,14.627826659667724,5.135310289096965,3
bloodmnist,0.5,cwt,15,55.14867141963536,11.245055720218362,3
bloodmnist,0.5,cwt,30,64.69991376341973,3.73599121221264,3
